지점,지점명,일시,기사
93,북춘천,2020-01-01,{눈}0250-{눈}{강도0}0300-0340. {눈}0445-{눈}{강도0}0600-{눈}{강도0}0900-1145. {박무}0720-{박무}{강도0}0900-{박무}{강도0}1200-1230. {박무}2310-{박무}{강도1}2400-
93,북춘천,2020-01-02,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-{박무}{강도0}1200-1215. {박무}1945-{박무}{강도0}2100-{박무}{강도1}2400-
93,북춘천,2020-01-03,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도2}0900-1130. {연무}1125-{연무}{강도0}1200-1250.
93,북춘천,2020-01-04,{박무}0520-{박무}{강도0}0600-0850.
93,북춘천,2020-01-05,{햇무리}1610-{채운}1610-1640.1640. {박무}2345-{박무}{강도0}2400-
93,북춘천,2020-01-06,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0830. {눈}1130-{눈}{강도0}1200-1210. {눈}1330-{눈}{강도0}1500-{눈}{강도0}1800-{진눈깨비}1950-{진눈깨비}{강도0}2100-{비}2140-{비}{강도0}2400- {박무}1430-{박무}{강도0}1500-{박무}{강도1}1800-{박무}{강도2}2100-{박무}{강도2}2400-
93,북춘천,2020-01-07,-{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도1}2100-{비}{강도0}2400- -{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도1}0900-{박무}{강도1}1200-{박무}{강도1}1500-{박무}{강도1}1800-{박무}{강도2}2100-{박무}{강도1}2400-
93,북춘천,2020-01-08,-{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-1050. -{박무}-{박무}{강도1}0300-{박무}{강도1}0600-0840. {박무}1745-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400- {비}2030-{비}{강도0}2100-2230.
93,북춘천,2020-01-09,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0930. {박무}2045-{박무}{강도0}2100-{박무}{강도1}2400-
93,북춘천,2020-01-10,-{박무}-{박무}{강도2}0300-{박무}{강도2}0600-{박무}{강도0}0900-{박무}{강도0}1200-1250. {연무}1245-1435. {박무}1945-{박무}{강도1}2100-{박무}{강도1}2400-
93,북춘천,2020-01-11,-{박무}-{박무}{강도2}0300-{박무}{강도2}0600-{박무}{강도2}0900-{박무}{강도0}1200-1207. {연무}1205-1350. {달무리}2135-2215. {박무}2240-{박무}{강도0}2400-
93,북춘천,2020-01-12,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1121. {연무}1119-{연무}{강도0}1200-1250.
93,북춘천,2020-01-16,{무지개}1550-1615.
93,북춘천,2020-01-19,{눈}0945-1150. {박무}1050-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도1}2400- {눈}1250-1440.
93,북춘천,2020-01-20,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-1035.
93,북춘천,2020-01-24,{박무}0330-{박무}{강도0}0600-{박무}{강도1}0900-1145. {연무}1140-{연무}{강도0}1200-1250. {햇무리}1435- {무지개}1545-1615.1720.
93,북춘천,2020-01-26,{박무}0445-{박무}{강도0}0600-0730.
93,북춘천,2020-01-29,{햇무리}1150-1230.
93,북춘천,2020-01-30,{비}1618-1646. {진눈깨비}2205-{눈}2215-2255.
93,북춘천,2020-02-01,{박무}0430-{박무}{강도0}0600-{박무}{강도1}0900-1125. {연무}1120-{연무}{강도0}1200-{연무}{강도0}1500-1750. {연무}1850-2055. {박무}2050-{박무}{강도1}2100-{박무}{강도1}2400-
93,북춘천,2020-02-02,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도1}0900-{박무}{강도0}1200-1225. {연무}1220-1430. {눈}2050-{눈}{강도0}2100-2125.
93,북춘천,2020-02-03,{눈}0050-0130.
93,북춘천,2020-02-04,{눈}1815-{눈}{강도0}2100-2230. {박무}1830-{박무}{강도1}2100-2310.
93,북춘천,2020-02-09,{박무}0530-{박무}{강도0}0600-0750.
93,북춘천,2020-02-10,{박무}0530-{박무}{강도0}0600-{박무}{강도0}0900-0940.
93,북춘천,2020-02-12,{비}0445-{비}{강도0}0600-{비}{강도0}0900-0950. {비}1125-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-1850. {박무}1730-{박무}{강도0}1800-{박무}{강도1}2100-{박무}{강도2}2400- {비}1950-{비}{강도0}2100-2350.
93,북춘천,2020-02-13,-{박무}-{박무}{강도2}0300-{박무}{강도2}0600-{시정(미만)}{1km}{안개}0620-{시정(미만)}{0.5km}{안개}0840-{안개}{강도1}0900-{시정(이상)}{0.5km}{안개}0940-{시정(이상)}{1km}{박무}1050-{박무}{강도0}1200-1215. {박무}1930-{박무}{강도0}2100-{박무}{강도1}2400-
93,북춘천,2020-02-14,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{시정(미만)}{1km}{안개}0640-{시정(이상)}{1km}{박무}0840-{박무}{강도2}0900-1159. {연무}1154-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-1915. {박무}1910-{박무}{강도0}2100-{박무}{강도1}2400-
93,북춘천,2020-02-15,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도1}0900-1120. {연무}1115-{연무}{강도0}1200-1230. {비}2130-{비}{강도0}2400- {박무}2240-{박무}{강도0}2400-
93,북춘천,2020-02-16,-{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{눈}1050-{눈}{강도0}1200-{눈}{강도0}1500-1635. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0850. {눈}1710-1740. {눈}1815-1945. {박무}1850-{박무}{강도0}2100-2150. {눈}2045-2050.
93,북춘천,2020-02-17,{눈}0315-{눈}{강도0}0600-0610. {박무}0430-{박무}{강도0}0600-0630. {눈}0850-{눈}{강도0}0900-0940. {눈}1015-{눈}{강도0}1200-{눈}{강도0}1500-1530. {박무}1050-1150. {연무}1850-2030.
93,북춘천,2020-02-20,{박무}0250-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1050. {박무}1940-{박무}{강도0}2100-{박무}{강도0}2400-
93,북춘천,2020-02-21,-{박무}-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도1}0900-{박무}{강도0}1200-1215. {연무}1210-{연무}{강도0}1500-{연무}{강도0}1800-1925. {박무}1920-{박무}{강도0}2100-{박무}{강도1}2400- {비}1935-{비}{강도0}2100-{비}{강도0}2400-
93,북춘천,2020-02-22,-{비}-{비}{강도0}0300-0340. -{박무}-{박무}{강도1}0300-0440. {황사}0940-1150. {진눈깨비}1145-{진눈깨비}{강도0}1200-1325. {박무}1230-{박무}{강도0}1500-1515. {비}1345-1415.
93,북춘천,2020-02-24,{햇무리}1515-1725.
93,북춘천,2020-02-25,{비}0231-{비}{강도0}0300-{비}{강도0}0600-{비}{강도1}0900-{비}{강도0}1200-{비}{강도0}1500-1630. {박무}0250-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-1250. {채운}1810-1818.
93,북춘천,2020-02-26,{비}1720-{비}{강도0}1800-{비}{강도0}2100-2250.
93,북춘천,2020-02-27,{박무}0150-0250.
